P	25	17
P	24	18
P	24	15
P	22	20
C	20	22
C	19	23
P	21	17
C	9	26
C	19	24
C	19	24
P	22	16
P	27	16
C	17	21
P	25	18
C	18	25
P	26	9
C	16	22
C	17	21
C	16	24
C	13	30
C	19	24
P	22	21
P	27	16
C	12	26
P	29	10
C	15	24
P	23	19
P	26	12
P	29	10
P	26	11
P	29	10
C	19	22
C	12	26
C	15	24
C	17	25
C	19	24
C	20	22
C	13	30
C	15	25
P	29	10
P	29	10
P	22	21
P	22	21
C	19	24
C	18	25
C	17	21
C	18	25
C	15	24
P	21	17
C	13	30
C	19	24
C	19	22
C	9	26
P	24	18
P	24	18
P	29	10
P	24	18
P	22	20
P	26	9
C	12	26
P	26	11
C	18	24
P	29	10
P	30	13
P	21	17
P	26	11
C	17	21
C	21	22
C	17	25
C	20	22
C	20	23
C	20	23
C	20	22
C	19	23
C	15	24
C	19	23
C	13	30
P	29	10
C	15	24
P	30	13
C	10	29
C	15	24
C	12	26
C	20	22
P	25	17
C	21	22
C	15	24
C	15	24
P	22	21
C	15	25
P	26	12
P	26	14
P	24	15
P	22	21
P	29	10
P	24	19
C	14	26
C	17	25
C	18	24
C	19	23
P	22	16
C	11	26
P	21	17
C	20	23
C	19	24
P	25	17
C	18	24
C	10	29
C	18	25
P	22	20
C	10	29
C	10	29
C	13	30
P	25	17
P	29	10
C	21	22
P	30	13
C	19	24
C	16	22
P	30	13
C	18	24
C	20	23
C	15	25
C	19	22
C	18	24
P	25	18
P	29	10
P	25	15
P	25	18
P	23	19
P	23	19
C	15	25
C	19	24
C	13	30
C	20	22
C	17	25
C	16	27
P	22	19
P	24	19
P	26	14
P	30	13
P	24	19
P	26	9
C	18	24
P	22	20
C	18	25
P	24	18
C	17	21
C	10	29
P	22	21
P	22	20
P	30	13
P	22	20
C	19	22
C	20	22
P	25	18
C	14	26
C	10	29
C	10	29
C	21	22
C	15	24
C	16	24
C	9	26
P	22	20
P	26	9
C	20	22
P	26	12
P	24	16
P	24	16
C	16	22
P	24	18
P	23	19
P	23	19
C	11	26
P	26	14
P	24	16
P	23	19
P	30	13
P	23	20
C	16	22
P	22	21
P	24	18
C	20	22
C	10	29
P	24	16
P	24	16
P	24	19
C	15	24
P	26	12
P	22	20
C	14	26
P	22	20
C	15	24
C	21	22
C	17	21
C	16	22
P	26	11
C	13	30
C	12	26
C	19	24
C	20	23
P	26	14
P	22	16
C	19	22
C	11	26
P	22	19
P	29	10
C	18	25
C	21	22
P	26	11
C	18	25
P	23	19
C	18	24
P	22	21
C	21	22
C	20	22
C	17	25
C	20	22
C	20	23
C	16	22
P	23	20
C	16	22
P	26	9
P	22	20
P	24	15
P	24	19
C	13	30
P	23	20
C	16	24
C	15	24
P	29	10
P	22	21
C	20	23
C	18	24
P	26	12
P	24	18
C	20	23
C	20	22
P	26	12
C	12	26
C	20	22
C	12	26
C	15	24
C	18	24
P	22	20
C	18	24
P	25	17
P	24	18
P	24	19
P	25	17
P	26	14
C	19	24
P	22	20
P	30	13
C	21	22
P	24	18
P	22	21
P	22	19
P	25	17
C	21	22
P	24	15
C	13	30
P	27	16
P	22	20
C	12	26
P	29	10
P	24	19
C	16	27
P	21	17
P	21	17
C	13	30
P	22	20
P	29	10
C	10	29
P	30	13
P	22	16
C	21	22
P	22	21
C	19	24
P	24	18
P	22	21
C	18	24
C	19	23
P	24	18
C	19	22
C	14	26
C	16	24
C	18	24
P	30	13
C	18	24
C	11	26
C	18	25
P	26	12
P	21	17
C	9	26
P	22	21
P	24	18
C	11	26
P	22	16
C	15	25
P	23	20
P	24	19
P	26	11
P	26	14
P	26	11
C	19	24
P	27	16
P	24	18
P	24	15
C	12	26
C	18	25
P	25	18
P	30	13
C	18	24
P	24	18
C	12	26
C	19	24
C	20	22
C	18	24
P	24	15
C	21	22
P	24	15
P	24	18
C	10	29
C	21	22
C	10	29
P	24	16
C	11	26
C	12	26
P	24	19
C	11	26
P	25	18
P	22	21
P	23	19
C	10	29
C	15	25
P	23	19
C	21	22
C	10	29
C	11	26
C	20	23
P	22	21
P	21	17
C	16	24
C	11	26
P	24	15
P	21	17
C	10	29
P	22	21
C	20	23
C	18	24
C	21	22
C	18	24
C	17	21
C	17	21
P	25	18
C	9	26
C	15	24
P	26	11
C	18	24
